episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.09,0.5555555555555556,0.0,4.0,1.0,0.0,0.0,70.0,1280.0,1.0,0.0030968189239501953,100
1,0.1,0.3,0.0,13.4,1.0,0.0,0.0,270.0,1280.0,1.0,0.0020189285278320312,100
2,0.06,0.0,0.0,51.0,1.0,0.0,0.0,-110.0,1079.9999999999998,1.0,0.0030002593994140625,100
3,0.07,0.14285714285714285,0.0,13.75,1.0,0.0,0.0,-330.0,1280.0,1.0,0.001992940902709961,100
4,0.07,0.2857142857142857,0.0,9.0,1.0,0.0,0.0,130.0,1179.9999999999998,1.0,0.0019884109497070312,100
5,0.05,0.0,0.0,10.0,1.0,0.0,0.0,-410.0,1079.9999999999998,1.0,0.0030143260955810547,100
6,0.04,0.5,0.0,12.0,1.0,0.0,0.0,-300.0,1229.9999999999998,1.0,0.0019881725311279297,100
7,0.09,0.1111111111111111,0.0,26.666666666666668,1.0,0.0,0.0,230.0,1179.9999999999995,1.0,0.0030088424682617188,100
8,0.07,0.14285714285714285,0.0,34.5,1.0,0.0,0.0,-40.0,1129.9999999999998,1.0,0.0018894672393798828,100
9,0.06,0.0,0.0,31.0,1.0,0.0,0.0,-160.0,1079.9999999999998,1.0,0.0030171871185302734,100
10,0.07,0.2857142857142857,0.0,14.333333333333334,1.0,0.0,0.0,-140.0,1129.9999999999998,1.0,0.002010822296142578,100
11,0.07,0.14285714285714285,0.0,12.333333333333334,1.0,0.0,0.0,-200.0,1230.0,1.0,0.0029730796813964844,100
12,0.04,0.25,0.0,3.3333333333333335,1.0,0.0,0.0,-510.0,1329.9999999999998,1.0,0.0020160675048828125,100
13,0.05,0.6,0.0,12.0,1.0,0.0,0.0,-340.0,1129.9999999999998,1.0,0.002984285354614258,100
14,0.06,0.3333333333333333,0.0,7.333333333333333,1.0,0.0,0.0,-200.0,1230.0,1.0,0.002999544143676758,100
15,0.05,0.0,0.0,15.666666666666666,1.0,0.0,0.0,-510.0,1330.0,1.0,0.0019996166229248047,100
16,0.07,0.0,0.0,15.5,1.0,0.0,0.0,-290.0,1130.0,1.0,0.003029346466064453,100
17,0.06,0.0,0.0,33.0,1.0,0.0,0.0,10.0,1129.9999999999998,1.0,0.0019888877868652344,100
18,0.08,0.375,0.0,12.75,1.0,0.0,0.0,280.0,1179.9999999999998,1.0,0.0029823780059814453,100
19,0.06,0.16666666666666666,0.0,16.5,1.0,0.0,0.0,-300.0,1230.0,1.0,0.0020203590393066406,100
20,0.08,0.25,0.0,30.0,1.0,0.0,0.0,90.0,1079.9999999999998,1.0,0.0029969215393066406,100
21,0.07,0.42857142857142855,0.0,10.75,1.0,0.0,0.0,280.0,1179.9999999999998,1.0,0.001981973648071289,100
22,0.05,0.6,0.0,3.6,1.0,0.0,0.0,-210.0,1330.0,1.0,0.0030202865600585938,100
23,0.05,0.2,0.0,36.0,1.0,0.0,0.0,-260.0,1079.9999999999998,1.0,0.0020265579223632812,100
24,0.08,0.125,0.0,8.0,1.0,0.0,0.0,-70.0,1180.0,1.0,0.004986286163330078,100
25,0.04,0.0,0.0,19.0,1.0,0.0,0.0,-320.0,1180.0,1.0,0.0030002593994140625,100
26,0.05,0.4,0.0,15.0,1.0,0.0,0.0,-450.0,1229.9999999999995,1.0,0.003000497817993164,100
27,0.04,0.0,0.0,18.5,1.0,0.0,0.0,-400.0,1230.0,1.0,0.0025093555450439453,100
28,0.07,0.42857142857142855,0.0,16.0,1.0,0.0,0.0,-90.0,1129.9999999999998,1.0,0.002011537551879883,100
29,0.05,0.6,0.0,3.75,1.0,0.0,0.0,-250.0,1229.9999999999995,1.0,0.0031061172485351562,100
30,0.08,0.25,0.0,12.5,1.0,0.0,0.0,0.0,1229.9999999999998,1.0,0.0019872188568115234,100
31,0.07,0.42857142857142855,0.0,10.4,1.0,0.0,0.0,-50.0,1230.0,1.0,0.0036389827728271484,100
32,0.07,0.14285714285714285,0.0,7.4,1.0,0.0,0.0,-30.0,1280.0,1.0,0.0029993057250976562,100
33,0.07,0.0,0.0,5.0,1.0,0.0,0.0,-40.0,1129.9999999999998,1.0,0.0030012130737304688,100
34,0.05,0.6,0.0,7.75,1.0,0.0,0.0,-570.0,1430.0,1.0,0.003190755844116211,100
35,0.05,0.2,0.0,22.5,1.0,0.0,0.0,-530.0,1279.9999999999998,1.0,0.0030062198638916016,100
36,0.08,0.5,0.0,6.8,1.0,0.0,0.0,0.0,1229.9999999999998,1.0,0.0020155906677246094,100
37,0.07,0.2857142857142857,0.0,7.4,1.0,0.0,0.0,-160.0,1330.0,1.0,0.0029947757720947266,100
38,0.06,0.0,0.0,29.0,1.0,0.0,0.0,10.0,1129.9999999999998,1.0,0.0029840469360351562,100
39,0.05,0.0,0.0,18.5,1.0,0.0,0.0,-170.0,1179.9999999999998,1.0,0.002002716064453125,100
40,0.07,0.2857142857142857,0.0,13.25,1.0,0.0,0.0,-210.0,1330.0,1.0,0.0030007362365722656,100
41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-820.0,1179.9999999999995,1.0,0.0029964447021484375,100
42,0.05,0.0,0.0,19.333333333333332,1.0,0.0,0.0,10.0,1129.9999999999998,1.0,0.003004312515258789,100
43,0.05,0.2,0.0,6.333333333333333,1.0,0.0,0.0,-230.0,1280.0,1.0,0.002996206283569336,100
44,0.05,0.2,0.0,12.0,1.0,0.0,0.0,-60.0,1079.9999999999998,1.0,0.003001689910888672,100
45,0.07,0.14285714285714285,0.0,10.8,1.0,0.0,0.0,-130.0,1280.0,1.0,0.0030078887939453125,100
46,0.07,0.2857142857142857,0.0,7.5,1.0,0.0,0.0,-150.0,1230.0,1.0,0.003005504608154297,100
47,0.07,0.14285714285714285,0.0,18.333333333333332,1.0,0.0,0.0,-20.0,1179.9999999999998,1.0,0.00199127197265625,100
48,0.08,0.375,0.0,12.75,1.0,0.0,0.0,-110.0,1330.0,1.0,0.0029942989349365234,100
49,0.09,0.4444444444444444,0.0,5.0,1.0,0.0,0.0,-60.0,1329.9999999999998,1.0,0.0020008087158203125,100
