experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,bayesian_accuracy,brier_score,log_loss,ece,mean_service_availability,cumulative_impact,recovery_debt,autonomous_action_rate,high_impact_rate,safety_violations_prevented
SCE-001,1789578249.2567043,0,60,opportunistic,0.11666666666666667,0.7666666666666667,0.7931034482758621,1.0,0.8846153846153846,0.8571428571428571,2.0,0.0,870.0,2.321928094887362,0.0,0.014298946996010194,0.03217879024967654,0.023493304351965543,1.0,4.8999999999999995,0.0,0.03333333333333333,0.9666666666666667,0
SCE-001,1789578249.2787035,1,60,opportunistic,0.26666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,0.0,0.014298946996010194,0.03217879024967654,0.023493304351965543,1.0,10.65,0.0,0.03333333333333333,0.9666666666666667,0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-001,1789746382.2291663,0,60,opportunistic,0.11666666666666667,0.7666666666666667,0.7931034482758621,1.0,0.8846153846153846,0.8571428571428571,2.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789746382.2472355,1,60,opportunistic,0.26666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,10.65,0.0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-001,1789846462.44916,0,60,opportunistic,0.11666666666666667,0.7666666666666667,0.7931034482758621,1.0,0.8846153846153846,0.8571428571428571,2.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789846462.4688494,1,60,opportunistic,0.26666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,10.65,0.0
SCE-001,1789846462.4878533,2,60,resource_aware,0.25,0.9166666666666666,0.9482758620689655,1.0,0.9734513274336283,0.6,5.0,0.0,870.0,2.321928094887362,1.0,10.3,0.0
SCE-001,1789846462.5048943,3,60,adaptive,0.21666666666666667,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,3.0,0.0,870.0,2.321928094887362,1.0,9.399999999999999,0.0
SCE-001,1789846462.5248942,4,60,opportunistic,0.08333333333333333,0.6,0.6206896551724138,1.0,0.7659574468085107,0.9166666666666666,2.0,0.0,870.0,2.321928094887362,1.0,3.0999999999999996,0.0
SCE-001,1789846462.5438936,5,60,adaptive,0.11666666666666667,0.9,0.9310344827586207,1.0,0.9642857142857143,0.6666666666666666,4.0,0.0,870.0,2.321928094887362,1.0,5.1000000000000005,0.0
SCE-001,1789846462.5628939,6,60,adaptive,0.11666666666666667,0.8333333333333334,0.8620689655172413,1.0,0.9259259259259259,0.8,3.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789846462.581897,7,60,opportunistic,0.15,0.7333333333333333,0.7586206896551724,1.0,0.8627450980392156,0.875,5.0,0.0,870.0,2.321928094887362,1.0,5.3999999999999995,0.0
SCE-001,1789846462.5999026,8,60,resource_aware,0.18333333333333332,0.8833333333333333,0.9137931034482759,1.0,0.9549549549549551,0.7142857142857143,3.0,0.0,870.0,2.321928094887362,1.0,7.299999999999999,0.0
SCE-001,1789846462.6199775,9,60,stealth,0.16666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,7.85,0.0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-001,1789847302.1448653,0,60,opportunistic,0.11666666666666667,0.7666666666666667,0.7931034482758621,1.0,0.8846153846153846,0.8571428571428571,2.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789847366.6640522,1,60,opportunistic,0.26666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,10.65,0.0
SCE-001,1789847434.6188455,2,60,resource_aware,0.25,0.9166666666666666,0.9482758620689655,1.0,0.9734513274336283,0.6,5.0,0.0,870.0,2.321928094887362,1.0,10.3,0.0
SCE-001,1789847502.4496334,3,60,adaptive,0.21666666666666667,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,3.0,0.0,870.0,2.321928094887362,1.0,9.399999999999999,0.0
SCE-001,1789847576.0755126,4,60,opportunistic,0.08333333333333333,0.6,0.6206896551724138,1.0,0.7659574468085107,0.9166666666666666,2.0,0.0,870.0,2.321928094887362,1.0,3.0999999999999996,0.0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-001,1789853988.3426664,0,60,opportunistic,0.11666666666666667,0.7666666666666667,0.7931034482758621,1.0,0.8846153846153846,0.8571428571428571,2.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789854056.1238842,1,60,opportunistic,0.26666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,10.65,0.0
SCE-001,1789854123.22067,2,60,resource_aware,0.25,0.9166666666666666,0.9482758620689655,1.0,0.9734513274336283,0.6,5.0,0.0,870.0,2.321928094887362,1.0,10.3,0.0
SCE-001,1789854189.7899182,3,60,adaptive,0.21666666666666667,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,3.0,0.0,870.0,2.321928094887362,1.0,9.399999999999999,0.0
SCE-001,1789854257.6474848,4,60,opportunistic,0.08333333333333333,0.6,0.6206896551724138,1.0,0.7659574468085107,0.9166666666666666,2.0,0.0,870.0,2.321928094887362,1.0,3.0999999999999996,0.0
SCE-001,1789854344.848177,5,60,adaptive,0.11666666666666667,0.9,0.9310344827586207,1.0,0.9642857142857143,0.6666666666666666,4.0,0.0,870.0,2.321928094887362,1.0,5.1000000000000005,0.0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-001,1789858024.228079,0,60,opportunistic,0.11666666666666667,0.7666666666666667,0.7931034482758621,1.0,0.8846153846153846,0.8571428571428571,2.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789858102.078223,1,60,opportunistic,0.26666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,10.65,0.0
SCE-001,1789858176.4231477,2,60,resource_aware,0.25,0.9166666666666666,0.9482758620689655,1.0,0.9734513274336283,0.6,5.0,0.0,870.0,2.321928094887362,1.0,10.3,0.0
SCE-001,1789858243.811783,3,60,adaptive,0.21666666666666667,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,3.0,0.0,870.0,2.321928094887362,1.0,9.399999999999999,0.0
SCE-001,1789858313.110636,4,60,opportunistic,0.08333333333333333,0.6,0.6206896551724138,1.0,0.7659574468085107,0.9166666666666666,2.0,0.0,870.0,2.321928094887362,1.0,3.0999999999999996,0.0
SCE-001,1789858379.583219,5,60,adaptive,0.11666666666666667,0.9,0.9310344827586207,1.0,0.9642857142857143,0.6666666666666666,4.0,0.0,870.0,2.321928094887362,1.0,5.1000000000000005,0.0
SCE-001,1789858450.223997,6,60,adaptive,0.11666666666666667,0.8333333333333334,0.8620689655172413,1.0,0.9259259259259259,0.8,3.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789858519.1314056,7,60,opportunistic,0.15,0.7333333333333333,0.7586206896551724,1.0,0.8627450980392156,0.875,5.0,0.0,870.0,2.321928094887362,1.0,5.3999999999999995,0.0
SCE-001,1789858587.7096353,8,60,resource_aware,0.18333333333333332,0.8833333333333333,0.9137931034482759,1.0,0.9549549549549551,0.7142857142857143,3.0,0.0,870.0,2.321928094887362,1.0,7.299999999999999,0.0
SCE-001,1789858659.213298,9,60,stealth,0.16666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,7.85,0.0
experiment_id,timestamp,episode_id,total_steps,attacker_type,attack_success_rate,detection_rate,precision,recall,f1_score,false_positive_rate,mttd,mttr,total_intervention_cost,action_entropy,mean_service_availability,cumulative_impact,recovery_debt
SCE-001,1789864067.5297287,0,60,opportunistic,0.11666666666666667,0.7666666666666667,0.7931034482758621,1.0,0.8846153846153846,0.8571428571428571,2.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789864153.108297,1,60,opportunistic,0.26666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,10.65,0.0
SCE-001,1789864237.8040652,2,60,resource_aware,0.25,0.9166666666666666,0.9482758620689655,1.0,0.9734513274336283,0.6,5.0,0.0,870.0,2.321928094887362,1.0,10.3,0.0
SCE-001,1789864306.1772435,3,60,adaptive,0.21666666666666667,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,3.0,0.0,870.0,2.321928094887362,1.0,9.399999999999999,0.0
SCE-001,1789864375.2797778,4,60,opportunistic,0.08333333333333333,0.6,0.6206896551724138,1.0,0.7659574468085107,0.9166666666666666,2.0,0.0,870.0,2.321928094887362,1.0,3.0999999999999996,0.0
SCE-001,1789864441.118303,5,60,adaptive,0.11666666666666667,0.9,0.9310344827586207,1.0,0.9642857142857143,0.6666666666666666,4.0,0.0,870.0,2.321928094887362,1.0,5.1000000000000005,0.0
SCE-001,1789864509.5542295,6,60,adaptive,0.11666666666666667,0.8333333333333334,0.8620689655172413,1.0,0.9259259259259259,0.8,3.0,0.0,870.0,2.321928094887362,1.0,4.8999999999999995,0.0
SCE-001,1789864576.772905,7,60,opportunistic,0.15,0.7333333333333333,0.7586206896551724,1.0,0.8627450980392156,0.875,5.0,0.0,870.0,2.321928094887362,1.0,5.3999999999999995,0.0
SCE-001,1789864644.5371552,8,60,resource_aware,0.18333333333333332,0.8833333333333333,0.9137931034482759,1.0,0.9549549549549551,0.7142857142857143,3.0,0.0,870.0,2.321928094887362,1.0,7.299999999999999,0.0
SCE-001,1789864710.245272,9,60,stealth,0.16666666666666666,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,4.0,0.0,870.0,2.321928094887362,1.0,7.85,0.0
SCE-001,1789864779.869227,10,60,adaptive,0.25,0.95,0.9827586206896551,1.0,0.9913043478260869,0.3333333333333333,3.0,0.0,870.0,2.321928094887362,1.0,10.950000000000001,0.0
SCE-001,1789864846.0958526,11,60,stealth,0.08333333333333333,0.7166666666666667,0.7413793103448276,1.0,0.8514851485148515,0.8823529411764706,15.0,0.0,870.0,2.321928094887362,1.0,3.7,0.0
SCE-001,1789864914.689645,12,60,stealth,0.18333333333333332,0.9333333333333333,0.9655172413793104,1.0,0.9824561403508771,0.5,3.0,0.0,870.0,2.321928094887362,1.0,8.25,0.0
SCE-001,1789864981.5496569,13,60,opportunistic,0.21666666666666667,0.9,0.9310344827586207,1.0,0.9642857142857143,0.6666666666666666,5.0,0.0,870.0,2.321928094887362,1.0,8.499999999999998,0.0
SCE-001,1789865049.29701,14,60,opportunistic,0.13333333333333333,0.9666666666666667,1.0,1.0,1.0,0.0,2.0,0.0,870.0,2.321928094887362,1.0,5.3500000000000005,0.0
